id,title,content,image_url,created_at,user_id_id
238,Q&A 테스트입니다.,<p>글이 잘 써지나요?</p>,,2024-06-19 00:24:31.868200+00:00,43
211,test,"<figure class=""image""><img></figure>",,2024-06-17 02:46:09.767972+00:00,49
250,,,,2024-06-19 05:52:36.502981+00:00,36
240,,,,2024-06-19 00:25:51.924741+00:00,36
241,테스트,"<figure class=""image""><img style=""aspect-ratio:1200/600;"" src=""http://127.0.0.1:8000//images/user_qna_images/think_cat.png"" width=""1200"" height=""600""></figure><p>빤히 쳐다보는 고양이</p>",user_qna_images/think_cat.png,2024-06-19 00:54:40.172613+00:00,43
243,,,,2024-06-19 01:57:02.344491+00:00,36
259,,,,2024-06-19 07:39:14.401496+00:00,36
253,,,,2024-06-19 07:03:25.682165+00:00,36
45,user_qna,<p>대형견 키우기 힘들지 않나요 ??</p>,user_qna_images/bordercollie.jpg,2024-05-06 07:55:18.274312+00:00,44
254,,,,2024-06-19 07:04:19.465977+00:00,36
49,이렇게 자는데 고양이 허리에 괜찮은 건가요?,고양이가 이렇게 누워서 자는데 고양이 허리에 괜찮나요?,user_qna_images/funnysleeping.jpg,2024-05-07 06:56:08.571333+00:00,44
2,다들 고양이 발톱은 어떻게 깎아주시나요?,저희 고양이가 너무 싫어하네요 ㅠ ㅠ,,2024-04-29 08:10:41.203000+00:00,5
3,혹시 강아지나 고양이 외의 동물도 질문 가능한가요?,햄스터를 키우고 있는데 도움을 받을 수 있을까 해서요...,,2024-04-30 04:37:42.203000+00:00,40
212,test,"<figure class=""image""><img></figure>",,2024-06-17 02:47:41.377085+00:00,49
48,다들 강아지 훈련 어떻게 시키시나요?,"앉아, 손 같은 훈련을 하고 싶은데 어떤 방식으로 해야할지 궁금합니다...!",,2024-05-07 06:25:48.852305+00:00,43
52,질문 있어용,혹시 강아지도 포도 먹어도 괜찮나요?,user_qna_images/grape1.jpg,2024-05-07 08:06:33.382864+00:00,44
46,강아지는 산책을 몇 번 가나요?,하루에 다들 몇 시간씩 몇 번 가는지 궁금합니다...!,,2024-05-06 08:57:10.718617+00:00,43
53,태양을 보는 여우,혹시 여우는 주행성 동물인가요?,user_qna_images/E3GNOr1WUAAG9VK.jpg,2024-05-07 08:17:56.074953+00:00,15
178,혹시 강아지들 발톱 관리는 어떻게 하시나요?,<p>강아지들 발톱이 고양이랑은 많이 다른 것 같은데 어떻게 관리해야할지 모르겠습니다 ㅠㅠ</p>,,2024-05-09 01:32:51.424890+00:00,56
179,고양이는 하루에 몇 분씩 몇 번 놀아주시나요?,<p>고양이도 강아지처럼 산책 대신 사냥놀이가 필수라고 하던데… 혹시 다들 몇 분씩 몇 번 놀아주시나요?</p>,,2024-05-09 01:54:44.123559+00:00,58
47,강아지는 목욕을 몇 번 시키나요?,제목 그대로 다들 일주일이나 한 달에 몇 번씩 목욕 시키시는지 궁금합니다...!!!!,user_qna_images/가슴줄_RPRZun2.jpeg,2024-05-06 08:59:22.806708+00:00,43
260,,,,2024-06-19 07:39:18.671721+00:00,36
261,,,,2024-06-19 07:39:27.196632+00:00,36
182,안녀앟세요테스트입니,ㅔㅌ스트중이에,,2024-06-17 01:38:24.178644+00:00,43
256,,,,2024-06-19 07:13:17.142600+00:00,36
244,ㅁㄴㅁ,<p>ㅁㅁㅁㅁ</p>,,2024-06-19 01:57:20.213884+00:00,36
267,ㅁㄴㅇㄴㅁ,<p>ㅁㄴㅇ</p>,,2024-06-19 07:58:08.318092+00:00,36
248,,,,2024-06-19 05:42:37.334600+00:00,36
249,ㄴㅁㅇ,<p>ㅁㄴㅇ</p>,,2024-06-19 05:47:02.861585+00:00,36
268,,,,2024-06-19 07:58:35.046539+00:00,36
262,ㄴㅁㅇ,<p>ㄴㅁㄴㅇㄴㅁ</p>,,2024-06-19 07:39:47.873732+00:00,36
220,오잉,<p>오잉?모지</p>,,2024-06-17 08:14:39.396453+00:00,36
269,,,,2024-06-19 07:59:34.806753+00:00,36
246,sadsa,<p>asdas</p>,,2024-06-19 05:32:08.895944+00:00,36
